GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADKXE001,ADKXE002,ADKXE003,ADKXE004,ADKXE005,ADKXE006,ADKXE007,ADKXE008,ADKXE009,ADKXE010,NAME_M,ADKXM001,ADKXM002,ADKXM003,ADKXM004,ADKXM005,ADKXM006,ADKXM007,ADKXM008,ADKXM009,ADKXM010
"G2002070","2011-2015",,,"Kansas","20","Woodson County","207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodson County, Kansas",3211,3040,17,9,5,0,10,130,2,128,"Woodson County, Kansas",0,23,9,6,6,10,21,42,3,42
"G2002090","2011-2015",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyandotte County, Kansas",160806,99235,39044,1093,5553,224,10377,5280,1127,4153,"Wyandotte County, Kansas",0,1194,477,222,186,23,1182,669,353,541
"G2100010","2011-2015",,,"Kentucky","21","Adair County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adair County, Kentucky",18852,17920,528,24,64,0,77,239,15,224,"Adair County, Kentucky",0,94,131,27,56,18,89,98,18,97
"G2100030","2011-2015",,,"Kentucky","21","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Allen County, Kentucky",20355,19646,276,5,93,0,169,166,0,166,"Allen County, Kentucky",0,101,134,10,103,21,104,91,21,91
"G2100050","2011-2015",,,"Kentucky","21","Anderson County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anderson County, Kentucky",21761,20807,507,3,124,0,63,257,29,228,"Anderson County, Kentucky",0,65,116,5,55,21,65,124,48,120
"G2100070","2011-2015",,,"Kentucky","21","Ballard County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ballard County, Kentucky",8256,7791,279,50,49,0,4,83,14,69,"Ballard County, Kentucky",0,17,61,31,43,16,5,42,16,36
"G2100090","2011-2015",,,"Kentucky","21","Barren County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barren County, Kentucky",42925,39976,1807,125,229,3,200,585,44,541,"Barren County, Kentucky",0,150,118,70,52,5,118,176,52,164
"G2100110","2011-2015",,,"Kentucky","21","Bath County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bath County, Kentucky",11978,11511,196,11,2,0,121,137,0,137,"Bath County, Kentucky",0,53,50,19,3,18,53,59,18,59
"G2100130","2011-2015",,,"Kentucky","21","Bell County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bell County, Kentucky",27950,26554,897,17,90,0,9,383,10,373,"Bell County, Kentucky",0,112,176,19,37,21,13,153,15,151
"G2100150","2011-2015",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Kentucky",124617,114320,3733,336,2967,0,1128,2133,103,2030,"Boone County, Kentucky",0,608,349,169,296,27,567,526,108,501
"G2100170","2011-2015",,,"Kentucky","21","Bourbon County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bourbon County, Kentucky",20013,18008,1427,16,42,0,380,140,0,140,"Bourbon County, Kentucky",0,190,84,21,65,21,191,61,21,61
"G2100190","2011-2015",,,"Kentucky","21","Boyd County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boyd County, Kentucky",48917,46346,1334,142,196,0,64,835,50,785,"Boyd County, Kentucky",0,62,114,73,77,24,49,154,37,154
"G2100210","2011-2015",,,"Kentucky","21","Boyle County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boyle County, Kentucky",29388,26151,2034,12,238,0,97,856,41,815,"Boyle County, Kentucky",0,105,149,20,48,21,83,156,46,157
"G2100230","2011-2015",,,"Kentucky","21","Bracken County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bracken County, Kentucky",8425,8335,2,0,0,0,77,11,0,11,"Bracken County, Kentucky",0,66,4,16,16,16,64,13,16,13
"G2100250","2011-2015",,,"Kentucky","21","Breathitt County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Breathitt County, Kentucky",13591,13272,66,27,59,26,2,139,0,139,"Breathitt County, Kentucky",0,39,32,21,39,43,9,70,18,70
"G2100270","2011-2015",,,"Kentucky","21","Breckinridge County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Breckinridge County, Kentucky",20061,19170,466,0,24,0,77,324,12,312,"Breckinridge County, Kentucky",0,65,119,21,30,21,62,124,20,123
"G2100290","2011-2015",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullitt County, Kentucky",76961,74289,369,126,403,98,358,1318,15,1303,"Bullitt County, Kentucky",0,182,153,84,155,114,180,213,27,212
"G2100310","2011-2015",,,"Kentucky","21","Butler County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Kentucky",12835,12596,152,23,0,0,60,4,0,4,"Butler County, Kentucky",0,112,97,26,18,18,61,5,18,5
"G2100330","2011-2015",,,"Kentucky","21","Caldwell County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caldwell County, Kentucky",12826,11884,747,0,6,33,0,156,16,140,"Caldwell County, Kentucky",0,27,100,18,10,53,18,92,27,89
"G2100350","2011-2015",,,"Kentucky","21","Calloway County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calloway County, Kentucky",38106,34798,1489,132,840,0,124,723,112,611,"Calloway County, Kentucky",0,172,171,53,71,24,99,226,83,209
"G2100370","2011-2015",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Campbell County, Kentucky",91475,85656,2938,55,743,32,583,1468,137,1331,"Campbell County, Kentucky",0,269,203,54,140,43,240,288,106,267
"G2100390","2011-2015",,,"Kentucky","21","Carlisle County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlisle County, Kentucky",4984,4813,78,34,4,0,3,52,12,40,"Carlisle County, Kentucky",0,13,32,31,7,11,5,38,13,29
"G2100410","2011-2015",,,"Kentucky","21","Carroll County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Kentucky",10830,10043,279,20,8,0,253,227,50,177,"Carroll County, Kentucky",0,285,58,20,17,18,245,96,84,46
"G2100430","2011-2015",,,"Kentucky","21","Carter County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carter County, Kentucky",27326,26768,224,59,37,0,20,218,0,218,"Carter County, Kentucky",0,25,36,38,38,21,23,69,21,69
"G2100450","2011-2015",,,"Kentucky","21","Casey County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Casey County, Kentucky",15954,15506,127,14,40,0,48,219,63,156,"Casey County, Kentucky",0,77,52,18,28,18,40,83,64,54
"G2100470","2011-2015",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Christian County, Kentucky",74159,53731,14721,432,1066,219,658,3332,185,3147,"Christian County, Kentucky",0,369,592,125,123,108,252,579,99,585
"G2100490","2011-2015",,,"Kentucky","21","Clark County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Kentucky",35657,33140,1872,16,204,0,78,347,0,347,"Clark County, Kentucky",0,78,94,26,13,24,58,115,24,115
"G2100510","2011-2015",,,"Kentucky","21","Clay County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Kentucky",21300,19889,834,71,12,9,137,348,81,267,"Clay County, Kentucky",0,95,150,36,23,17,63,147,44,149
"G2100530","2011-2015",,,"Kentucky","21","Clinton County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clinton County, Kentucky",10188,9893,58,0,23,0,80,134,96,38,"Clinton County, Kentucky",0,98,48,18,26,18,84,81,75,34
"G2100550","2011-2015",,,"Kentucky","21","Crittenden County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Kentucky",9222,8983,113,17,4,0,8,97,0,97,"Crittenden County, Kentucky",0,10,47,25,7,16,10,49,16,49
"G2100570","2011-2015",,,"Kentucky","21","Cumberland County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumberland County, Kentucky",6807,6456,202,0,18,0,0,131,0,131,"Cumberland County, Kentucky",0,15,79,16,22,16,16,87,16,87
"G2100590","2011-2015",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Daviess County, Kentucky",98173,89875,4434,178,898,0,541,2247,174,2073,"Daviess County, Kentucky",0,288,421,59,85,27,240,468,117,437
"G2100610","2011-2015",,,"Kentucky","21","Edmonson County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Edmonson County, Kentucky",12105,11771,178,20,16,0,0,120,19,101,"Edmonson County, Kentucky",0,138,73,36,19,18,18,72,29,70
"G2100630","2011-2015",,,"Kentucky","21","Elliott County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elliott County, Kentucky",7725,7500,189,7,4,0,20,5,0,5,"Elliott County, Kentucky",0,71,56,14,7,16,21,10,16,10
"G2100650","2011-2015",,,"Kentucky","21","Estill County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estill County, Kentucky",14476,14173,20,17,0,3,0,263,0,263,"Estill County, Kentucky",0,2,24,21,18,5,18,38,18,38
"G2100670","2011-2015",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Kentucky",308306,234432,44810,920,10875,139,8234,8896,901,7995,"Fayette County, Kentucky",0,1063,594,403,349,34,1011,807,310,736
"G2100690","2011-2015",,,"Kentucky","21","Fleming County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fleming County, Kentucky",14544,14029,201,6,6,0,88,214,71,143,"Fleming County, Kentucky",0,45,67,9,11,18,44,77,41,68
"G2100710","2011-2015",,,"Kentucky","21","Floyd County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Floyd County, Kentucky",38649,37856,311,38,106,0,19,319,37,282,"Floyd County, Kentucky",0,48,82,23,15,24,30,94,34,85
"G2100730","2011-2015",,,"Kentucky","21","Franklin County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Kentucky",49778,41232,5222,109,799,0,857,1559,238,1321,"Franklin County, Kentucky",0,215,288,94,109,27,296,356,183,310
"G2100750","2011-2015",,,"Kentucky","21","Fulton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Kentucky",6422,4637,1610,7,9,0,17,142,16,126,"Fulton County, Kentucky",0,41,97,9,13,16,20,95,19,90
"G2100770","2011-2015",,,"Kentucky","21","Gallatin County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gallatin County, Kentucky",8567,8064,96,0,52,0,209,146,0,146,"Gallatin County, Kentucky",0,117,84,16,48,16,118,51,16,51
"G2100790","2011-2015",,,"Kentucky","21","Garrard County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Garrard County, Kentucky",16976,16280,216,6,21,0,99,354,4,350,"Garrard County, Kentucky",0,94,105,13,22,18,93,110,8,111
"G2100810","2011-2015",,,"Kentucky","21","Grant County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Kentucky",24670,23401,78,35,6,0,586,564,7,557,"Grant County, Kentucky",0,224,73,37,11,21,224,82,9,81
"G2100830","2011-2015",,,"Kentucky","21","Graves County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graves County, Kentucky",37502,34482,1882,38,127,0,238,735,11,724,"Graves County, Kentucky",0,288,169,36,52,24,209,291,14,289
"G2100850","2011-2015",,,"Kentucky","21","Grayson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grayson County, Kentucky",26001,24958,300,50,51,13,286,343,74,269,"Grayson County, Kentucky",0,233,138,55,66,24,171,128,90,109
"G2100870","2011-2015",,,"Kentucky","21","Green County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Green County, Kentucky",11149,10557,339,0,70,0,0,183,12,171,"Green County, Kentucky",0,21,73,18,61,18,18,62,16,61
"G2100890","2011-2015",,,"Kentucky","21","Greenup County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenup County, Kentucky",36477,35388,284,103,150,0,44,508,5,503,"Greenup County, Kentucky",0,78,46,87,66,24,51,78,8,77
"G2100910","2011-2015",,,"Kentucky","21","Hancock County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Kentucky",8669,8391,112,0,0,0,17,149,15,134,"Hancock County, Kentucky",0,49,51,16,16,16,17,36,14,34
"G2100930","2011-2015",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardin County, Kentucky",107529,85834,12571,275,2451,408,1030,4960,325,4635,"Hardin County, Kentucky",0,374,507,105,157,25,235,555,178,545
"G2100950","2011-2015",,,"Kentucky","21","Harlan County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harlan County, Kentucky",28400,27096,705,49,109,55,170,216,19,197,"Harlan County, Kentucky",0,49,89,32,17,51,76,66,22,66
"G2100970","2011-2015",,,"Kentucky","21","Harrison County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Harrison County, Kentucky",18648,17646,395,49,19,0,245,294,23,271,"Harrison County, Kentucky",0,117,81,36,18,18,127,102,28,91
"G2100990","2011-2015",,,"Kentucky","21","Hart County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hart County, Kentucky",18441,17199,868,40,42,4,45,243,11,232,"Hart County, Kentucky",0,53,85,41,33,6,46,92,24,90
"G2101010","2011-2015",,,"Kentucky","21","Henderson County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henderson County, Kentucky",46396,41069,3349,82,174,0,552,1170,119,1051,"Henderson County, Kentucky",0,274,154,54,45,24,269,159,167,194
"G2101030","2011-2015",,,"Kentucky","21","Henry County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Kentucky",15455,14422,539,42,0,0,256,196,7,189,"Henry County, Kentucky",0,103,57,32,18,18,101,62,10,61
"G2101050","2011-2015",,,"Kentucky","21","Hickman County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hickman County, Kentucky",4720,4165,430,0,26,0,5,94,0,94,"Hickman County, Kentucky",0,33,70,11,27,11,8,60,11,60
"G2101070","2011-2015",,,"Kentucky","21","Hopkins County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hopkins County, Kentucky",46518,41927,2765,91,220,0,226,1289,141,1148,"Hopkins County, Kentucky",0,141,237,68,36,24,122,268,87,248
"G2101090","2011-2015",,,"Kentucky","21","Jackson County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Kentucky",13357,13316,6,4,0,0,0,31,0,31,"Jackson County, Kentucky",0,44,6,6,18,18,18,44,18,44
"G2101110","2011-2015",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Kentucky",755809,551240,156730,1192,18484,241,5521,22401,1552,20849,"Jefferson County, Kentucky",0,1313,1407,236,463,119,876,1624,458,1522
"G2101130","2011-2015",,,"Kentucky","21","Jessamine County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jessamine County, Kentucky",50328,46428,1811,169,576,16,359,969,47,922,"Jessamine County, Kentucky",0,240,236,120,89,44,265,253,54,246
"G2101150","2011-2015",,,"Kentucky","21","Johnson County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Kentucky",23350,22852,97,14,158,0,49,180,0,180,"Johnson County, Kentucky",0,58,69,31,96,21,79,112,21,112
"G2101170","2011-2015",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenton County, Kentucky",163007,147297,7446,422,1982,57,2263,3540,347,3193,"Kenton County, Kentucky",0,442,387,267,163,70,518,461,200,432
"G2101190","2011-2015",,,"Kentucky","21","Knott County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knott County, Kentucky",16000,15620,131,0,7,12,11,219,82,137,"Knott County, Kentucky",0,23,43,18,13,15,12,49,19,50
"G2101210","2011-2015",,,"Kentucky","21","Knox County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Knox County, Kentucky",31809,30942,368,121,9,0,9,360,0,360,"Knox County, Kentucky",0,14,145,140,16,24,13,154,24,154
"G2101230","2011-2015",,,"Kentucky","21","Larue County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Larue County, Kentucky",14149,13080,495,15,46,0,256,257,26,231,"Larue County, Kentucky",0,87,64,21,50,18,136,100,34,90
"G2101250","2011-2015",,,"Kentucky","21","Laurel County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Laurel County, Kentucky",59751,58079,516,170,333,0,60,593,84,509,"Laurel County, Kentucky",0,128,126,107,62,27,74,176,80,180
"G2101270","2011-2015",,,"Kentucky","21","Lawrence County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Kentucky",15821,15529,24,6,90,0,6,166,18,148,"Lawrence County, Kentucky",0,28,28,11,92,18,8,87,17,91
"G2101290","2011-2015",,,"Kentucky","21","Lee County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Kentucky",7119,6902,67,33,36,0,1,80,0,80,"Lee County, Kentucky",0,38,32,54,48,16,3,51,16,51
"G2101310","2011-2015",,,"Kentucky","21","Leslie County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leslie County, Kentucky",10997,10840,75,14,4,0,55,9,6,3,"Leslie County, Kentucky",0,79,73,22,16,18,12,12,12,4
"G2101330","2011-2015",,,"Kentucky","21","Letcher County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Letcher County, Kentucky",23671,23278,45,26,153,0,35,134,26,108,"Letcher County, Kentucky",0,36,33,29,70,21,30,59,21,53
"G2101350","2011-2015",,,"Kentucky","21","Lewis County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lewis County, Kentucky",13790,13545,36,44,10,0,66,89,0,89,"Lewis County, Kentucky",0,43,31,42,13,18,45,53,18,53
"G2101370","2011-2015",,,"Kentucky","21","Lincoln County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Kentucky",24498,23466,657,32,79,9,61,194,5,189,"Lincoln County, Kentucky",0,64,65,40,72,14,60,55,9,55
"G2101390","2011-2015",,,"Kentucky","21","Livingston County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livingston County, Kentucky",9394,9177,18,20,38,0,1,140,3,137,"Livingston County, Kentucky",0,10,23,26,47,16,4,59,5,60
"G2101410","2011-2015",,,"Kentucky","21","Logan County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logan County, Kentucky",26851,24303,1722,57,6,5,200,558,44,514,"Logan County, Kentucky",0,113,215,70,8,8,127,205,54,210
"G2101430","2011-2015",,,"Kentucky","21","Lyon County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Kentucky",8402,7700,520,9,36,0,19,118,6,112,"Lyon County, Kentucky",0,32,88,14,16,16,24,65,16,64
"G2101450","2011-2015",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McCracken County, Kentucky",65408,55791,7039,187,590,46,268,1487,132,1355,"McCracken County, Kentucky",0,186,273,69,83,72,139,307,91,299
"G2101470","2011-2015",,,"Kentucky","21","McCreary County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McCreary County, Kentucky",18001,16336,1078,102,0,0,124,361,50,311,"McCreary County, Kentucky",0,180,212,89,18,18,85,232,55,235
"G2101490","2011-2015",,,"Kentucky","21","McLean County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McLean County, Kentucky",9500,9289,42,29,26,0,3,111,26,85,"McLean County, Kentucky",0,37,32,29,33,16,5,50,36,36
"G2101510","2011-2015",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Kentucky",85838,78848,3821,370,783,56,350,1610,105,1505,"Madison County, Kentucky",0,188,183,124,146,59,176,253,52,248
"G2101530","2011-2015",,,"Kentucky","21","Magoffin County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magoffin County, Kentucky",12979,12959,11,0,0,0,0,9,0,9,"Magoffin County, Kentucky",0,21,14,18,18,18,18,16,18,16
"G2101550","2011-2015",,,"Kentucky","21","Marion County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Kentucky",19717,17453,1731,0,168,0,200,165,17,148,"Marion County, Kentucky",0,159,93,18,16,18,149,80,14,80
"G2101570","2011-2015",,,"Kentucky","21","Marshall County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Kentucky",31181,30595,133,46,86,0,11,310,38,272,"Marshall County, Kentucky",0,64,69,56,48,24,16,105,50,88
"G2101590","2011-2015",,,"Kentucky","21","Martin County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin County, Kentucky",12631,11917,597,10,1,0,40,66,0,66,"Martin County, Kentucky",0,232,196,13,3,18,53,41,18,41
"G2101610","2011-2015",,,"Kentucky","21","Mason County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mason County, Kentucky",17296,15549,1177,29,52,0,8,481,11,470,"Mason County, Kentucky",0,50,189,43,44,18,14,205,13,205
"G2101630","2011-2015",,,"Kentucky","21","Meade County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meade County, Kentucky",29098,26809,1130,91,237,0,102,729,50,679,"Meade County, Kentucky",0,87,165,99,91,21,70,203,43,203
"G2101650","2011-2015",,,"Kentucky","21","Menifee County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menifee County, Kentucky",6343,6122,26,1,16,0,117,61,0,61,"Menifee County, Kentucky",0,125,52,3,24,16,124,73,16,73
"G2101670","2011-2015",,,"Kentucky","21","Mercer County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mercer County, Kentucky",21342,19816,804,44,101,0,231,346,0,346,"Mercer County, Kentucky",0,184,115,42,35,21,194,117,21,117
"G2101690","2011-2015",,,"Kentucky","21","Metcalfe County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Metcalfe County, Kentucky",9985,9499,128,23,33,18,185,99,0,99,"Metcalfe County, Kentucky",0,257,68,36,50,26,257,56,16,56
"G2101710","2011-2015",,,"Kentucky","21","Monroe County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Kentucky",10765,10290,276,0,13,0,108,78,0,78,"Monroe County, Kentucky",0,71,53,18,22,18,71,50,18,50
"G2101730","2011-2015",,,"Kentucky","21","Montgomery County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Kentucky",27167,25636,809,94,7,23,341,257,7,250,"Montgomery County, Kentucky",0,250,123,80,12,30,258,104,12,103
"G2101750","2011-2015",,,"Kentucky","21","Morgan County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Kentucky",13428,12661,434,16,41,0,30,246,0,246,"Morgan County, Kentucky",0,97,90,24,19,18,24,97,18,97
"G2101770","2011-2015",,,"Kentucky","21","Muhlenberg County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Muhlenberg County, Kentucky",31309,28989,1649,79,71,70,28,423,58,365,"Muhlenberg County, Kentucky",0,57,205,50,61,91,41,195,61,179
"G2101790","2011-2015",,,"Kentucky","21","Nelson County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nelson County, Kentucky",44564,40851,2337,96,133,0,426,721,71,650,"Nelson County, Kentucky",0,343,181,51,73,24,366,234,90,213
"G2101810","2011-2015",,,"Kentucky","21","Nicholas County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nicholas County, Kentucky",7075,6857,104,29,0,0,7,78,6,72,"Nicholas County, Kentucky",0,39,71,40,16,16,10,58,11,59
"G2101830","2011-2015",,,"Kentucky","21","Ohio County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ohio County, Kentucky",24065,23046,567,10,15,0,60,367,203,164,"Ohio County, Kentucky",0,273,360,11,21,21,84,240,236,76
"G2101850","2011-2015",,,"Kentucky","21","Oldham County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oldham County, Kentucky",63037,56953,2662,158,861,27,959,1417,132,1285,"Oldham County, Kentucky",0,281,214,117,125,14,307,282,87,254
"G2101870","2011-2015",,,"Kentucky","21","Owen County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Owen County, Kentucky",10711,10296,170,25,10,9,169,32,12,20,"Owen County, Kentucky",0,91,55,28,18,17,91,36,21,28
"G2101890","2011-2015",,,"Kentucky","21","Owsley County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Owsley County, Kentucky",4616,4435,50,11,41,0,8,71,0,71,"Owsley County, Kentucky",0,120,59,20,60,11,14,65,11,65
"G2101910","2011-2015",,,"Kentucky","21","Pendleton County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pendleton County, Kentucky",14514,14246,83,17,0,0,0,168,8,160,"Pendleton County, Kentucky",0,12,55,29,18,18,18,63,12,62
"G2101930","2011-2015",,,"Kentucky","21","Perry County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Kentucky",28041,27016,402,35,157,82,0,349,3,346,"Perry County, Kentucky",0,86,154,38,9,82,21,153,6,153
"G2101950","2011-2015",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Kentucky",63434,61929,564,60,356,0,205,320,61,259,"Pike County, Kentucky",0,93,44,49,44,27,94,82,58,64
"G2101970","2011-2015",,,"Kentucky","21","Powell County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Powell County, Kentucky",12447,12065,51,10,43,13,78,187,2,185,"Powell County, Kentucky",0,18,44,19,45,23,50,81,5,82
"G2101990","2011-2015",,,"Kentucky","21","Pulaski County","199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pulaski County, Kentucky",63635,61256,628,89,404,75,364,819,2,817,"Pulaski County, Kentucky",0,280,152,66,47,94,247,173,4,172
"G2102010","2011-2015",,,"Kentucky","21","Robertson County","201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Robertson County, Kentucky",2208,2188,0,4,0,0,0,16,0,16,"Robertson County, Kentucky",0,27,11,7,11,11,11,24,11,24
"G2102030","2011-2015",,,"Kentucky","21","Rockcastle County","203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockcastle County, Kentucky",16942,16572,33,196,6,10,35,90,31,59,"Rockcastle County, Kentucky",0,25,29,78,11,18,35,55,43,40
"G2102050","2011-2015",,,"Kentucky","21","Rowan County","205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rowan County, Kentucky",23608,22406,402,67,110,0,240,383,0,383,"Rowan County, Kentucky",0,209,136,88,100,21,216,158,21,158
"G2102070","2011-2015",,,"Kentucky","21","Russell County","207",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Kentucky",17669,17057,49,25,20,167,191,160,0,160,"Russell County, Kentucky",0,135,54,22,35,104,150,73,18,73
